iteration,user_id,chosen_arm_index,model_name,reward,exploration_reward,accuracy_proxy,novelty_score,serendipity_score,alphas,betas,means,success_rates,temperature,exploration_rate
20,71,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.11 2.1 ],[13.11 12.1 ],[0.13863338 0.14788732],[0. 0.],0.9000874278732445,0.47619047619047616
21,467,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.12 2.1 ],[14.12 12.1 ],[0.13054187 0.14788732],[0. 0.],0.8955869907338783,0.45454545454545453
22,229,1,Popularity_Baseline,0.5,1.0,0.0,0.2,0.0,[2.12 2.11],[14.12 13.11],[0.13054187 0.13863338],[0. 0.],0.8911090557802088,0.4782608695652174
23,146,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.13 2.11],[15.13 13.11],[0.12340672 0.13863338],[0. 0.],0.8866535105013078,0.4583333333333333
24,74,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.14 2.11],[16.14 13.11],[0.11706783 0.13863338],[0. 0.],0.8822202429488013,0.44
25,433,1,Popularity_Baseline,0.5,1.0,0.0,0.5,0.0,[2.14 2.12],[16.14 14.12],[0.11706783 0.13054187],[0. 0.],0.8778091417340573,0.46153846153846156
26,97,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.15 2.12],[17.15 14.12],[0.11139896 0.13054187],[0. 0.],0.8734200960253871,0.4444444444444444
27,260,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.16 2.12],[18.16 14.12],[0.10629921 0.13054187],[0. 0.],0.8690529955452602,0.42857142857142855
28,270,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.17 2.12],[19.17 14.12],[0.10168697 0.13054187],[0. 0.],0.8647077305675338,0.41379310344827586
29,374,1,Popularity_Baseline,0.5,1.0,0.0,0.5,0.0,[2.17 2.13],[19.17 15.13],[0.10168697 0.12340672],[0. 0.],0.8603841919146962,0.43333333333333335
30,51,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.18 2.13],[20.18 15.13],[0.09749553 0.12340672],[0. 0.],0.8560822709551227,0.41935483870967744
31,217,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.19 2.13],[21.19 15.13],[0.0936698  0.12340672],[0. 0.],0.851801859600347,0.40625
32,176,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.2  2.13],[22.2  15.13],[0.09016393 0.12340672],[0. 0.],0.8475428503023453,0.3939393939393939
33,27,1,Popularity_Baseline,0.5,1.0,0.0,0.7,0.0,[2.2  2.14],[22.2  16.14],[0.09016393 0.11706783],[0. 0.],0.8433051360508336,0.4117647058823529
34,451,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.21 2.14],[23.21 16.14],[0.08693942 0.11706783],[0. 0.],0.8390886103705794,0.4
35,185,1,Popularity_Baseline,0.5,1.0,0.0,1.0,0.0,[2.21 2.15],[23.21 17.15],[0.08693942 0.11139896],[0. 0.],0.8348931673187264,0.4166666666666667
36,128,1,Popularity_Baseline,0.5,1.0,0.0,0.7,0.0,[2.21 2.16],[23.21 18.16],[0.08693942 0.10629921],[0. 0.],0.8307187014821328,0.43243243243243246
37,396,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.22 2.16],[24.22 18.16],[0.08396369 0.10629921],[0. 0.],0.8265651079747222,0.42105263157894735
38,29,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.23 2.16],[25.23 18.16],[0.08120903 0.10629921],[0. 0.],0.8224322824348486,0.41025641025641024
39,493,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.23 2.17],[25.23 19.17],[0.08120903 0.10168697],[0. 0.],0.8183201210226743,0.425
40,178,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.24 2.17],[26.24 19.17],[0.07865169 0.10168697],[0. 0.],0.8142285204175609,0.4146341463414634
41,98,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.25 2.17],[27.25 19.17],[0.07627119 0.10168697],[0. 0.],0.810157377815473,0.40476190476190477
42,147,1,Popularity_Baseline,0.5,1.0,0.0,1.0,0.0,[2.25 2.18],[27.25 20.18],[0.07627119 0.09749553],[0. 0.],0.8061065909263957,0.4186046511627907
43,21,1,Popularity_Baseline,0.5,1.0,0.0,0.4,0.0,[2.25 2.19],[27.25 21.19],[0.07627119 0.0936698 ],[0. 0.],0.8020760579717637,0.4318181818181818
44,567,1,Popularity_Baseline,0.5,1.0,0.0,0.7,0.0,[2.25 2.2 ],[27.25 22.2 ],[0.07627119 0.09016393],[0. 0.],0.798065677681905,0.4444444444444444
45,532,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.26 2.2 ],[28.26 22.2 ],[0.0740498  0.09016393],[0. 0.],0.7940753492934954,0.43478260869565216
46,250,1,Popularity_Baseline,0.5,1.0,0.0,0.9,0.0,[2.26 2.21],[28.26 23.21],[0.0740498  0.08693942],[0. 0.],0.7901049725470279,0.44680851063829785
47,194,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.27 2.21],[29.27 23.21],[0.0719721  0.08693942],[0. 0.],0.7861544476842928,0.4375
48,505,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.28 2.21],[30.28 23.21],[0.07002457 0.08693942],[0. 0.],0.7822236754458713,0.42857142857142855
49,137,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.29 2.21],[31.29 23.21],[0.06819535 0.08693942],[0. 0.],0.778312557068642,0.42
50,360,1,Popularity_Baseline,0.5,1.0,0.0,1.0,0.0,[2.29 2.22],[31.29 24.22],[0.06819535 0.08396369],[0. 0.],0.7744209942832988,0.43137254901960786
51,96,1,Popularity_Baseline,0.5,1.0,0.0,0.3,0.0,[2.29 2.23],[31.29 25.23],[0.06819535 0.08120903],[0. 0.],0.7705488893118823,0.4423076923076923
52,580,1,Popularity_Baseline,0.0,0.0,0.0,0.0,0.0,[2.29 2.24],[31.29 26.24],[0.06819535 0.07865169],[0. 0.],0.7666961448653229,0.4528301886792453
53,327,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.3  2.24],[32.3  26.24],[0.06647399 0.07865169],[0. 0.],0.7628626641409962,0.4444444444444444
54,378,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.31 2.24],[33.31 26.24],[0.06485121 0.07865169],[0. 0.],0.7590483508202912,0.43636363636363634
55,188,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.32 2.24],[34.32 26.24],[0.06331878 0.07865169],[0. 0.],0.7552531090661897,0.42857142857142855
56,405,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.33 2.24],[35.33 26.24],[0.06186936 0.07865169],[0. 0.],0.7514768435208588,0.42105263157894735
57,524,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.34 2.24],[36.34 26.24],[0.06049638 0.07865169],[0. 0.],0.7477194593032545,0.41379310344827586
58,465,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.34 2.25],[36.34 27.25],[0.06049638 0.07627119],[0. 0.],0.7439808620067382,0.423728813559322
59,83,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.34 2.26],[36.34 28.26],[0.06049638 0.0740498 ],[0. 0.],0.7402609576967045,0.43333333333333335
60,592,1,Popularity_Baseline,0.5,1.0,0.0,0.3,0.0,[2.34 2.27],[36.34 29.27],[0.06049638 0.0719721 ],[0. 0.],0.736559652908221,0.4426229508196721
61,371,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.35 2.27],[37.35 29.27],[0.05919395 0.0719721 ],[0. 0.],0.7328768546436799,0.43548387096774194
62,168,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.36 2.27],[38.36 29.27],[0.05795678 0.0719721 ],[0. 0.],0.7292124703704616,0.42857142857142855
63,160,1,Popularity_Baseline,0.5,1.0,0.0,0.1,0.0,[2.36 2.28],[38.36 30.28],[0.05795678 0.07002457],[0. 0.],0.7255664080186093,0.4375
64,479,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.37 2.28],[39.37 30.28],[0.05678007 0.07002457],[0. 0.],0.7219385759785162,0.4307692307692308
65,395,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.38 2.28],[40.38 30.28],[0.05565949 0.07002457],[0. 0.],0.7183288830986236,0.42424242424242425
66,434,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.39 2.28],[41.39 30.28],[0.05459114 0.07002457],[0. 0.],0.7147372386831305,0.417910447761194
67,94,1,Popularity_Baseline,0.5,1.0,0.0,0.3,0.0,[2.39 2.29],[41.39 31.29],[0.05459114 0.06819535],[0. 0.],0.7111635524897149,0.4264705882352941
68,354,1,Popularity_Baseline,0.5,1.0,0.0,0.1,0.0,[2.39 2.3 ],[41.39 32.3 ],[0.05459114 0.06647399],[0. 0.],0.7076077347272662,0.43478260869565216
69,250,1,Popularity_Baseline,0.5,1.0,0.0,0.0,0.0,[2.39 2.31],[41.39 33.31],[0.05459114 0.06485121],[0. 0.],0.7040696960536299,0.44285714285714284
70,540,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.4  2.31],[42.4  33.31],[0.05357143 0.06485121],[0. 0.],0.7005493475733617,0.43661971830985913
71,512,1,Popularity_Baseline,0.5,1.0,0.0,0.2,0.0,[2.4  2.32],[42.4  34.32],[0.05357143 0.06331878],[0. 0.],0.697046600835495,0.4444444444444444
72,157,1,Popularity_Baseline,0.5,1.0,0.0,0.9,0.0,[2.4  2.33],[42.4  35.33],[0.05357143 0.06186936],[0. 0.],0.6935613678313175,0.4520547945205479
73,69,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.41 2.33],[43.41 35.33],[0.05259712 0.06186936],[0. 0.],0.6900935609921609,0.44594594594594594
74,362,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.42 2.33],[44.42 35.33],[0.05166524 0.06186936],[0. 0.],0.6866430931872001,0.44
75,28,1,Popularity_Baseline,0.0,0.0,0.0,0.0,0.0,[2.42 2.34],[44.42 36.34],[0.05166524 0.06049638],[0. 0.],0.6832098777212641,0.4473684210526316
76,223,1,Popularity_Baseline,0.5,1.0,0.0,0.3,0.0,[2.42 2.35],[44.42 37.35],[0.05166524 0.05919395],[0. 0.],0.6797938283326578,0.45454545454545453
77,535,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.43 2.35],[45.43 37.35],[0.05077309 0.05919395],[0. 0.],0.6763948591909945,0.44871794871794873
78,80,1,Popularity_Baseline,0.5,1.0,0.0,0.7,0.0,[2.43 2.36],[45.43 38.36],[0.05077309 0.05795678],[0. 0.],0.6730128848950395,0.45569620253164556
79,141,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.44 2.36],[46.44 38.36],[0.04991817 0.05795678],[0. 0.],0.6696478204705644,0.45
80,37,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.44 2.37],[46.44 39.37],[0.04991817 0.05678007],[0. 0.],0.6662995813682115,0.4567901234567901
81,560,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.45 2.37],[47.45 39.37],[0.0490982  0.05678007],[0. 0.],0.6629680834613705,0.45121951219512196
82,490,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.45 2.38],[47.45 40.38],[0.0490982  0.05565949],[0. 0.],0.6596532430440636,0.4578313253012048
83,180,1,Popularity_Baseline,0.5,1.0,0.0,0.8,0.0,[2.45 2.39],[47.45 41.39],[0.0490982  0.05459114],[0. 0.],0.6563549768288433,0.4642857142857143
84,124,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.46 2.39],[48.46 41.39],[0.04831108 0.05459114],[0. 0.],0.653073201944699,0.4588235294117647
85,363,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.46 2.4 ],[48.46 42.4 ],[0.04831108 0.05357143],[0. 0.],0.6498078359349755,0.46511627906976744
86,378,1,Popularity_Baseline,0.5,1.0,0.0,0.7,0.0,[2.46 2.41],[48.46 43.41],[0.04831108 0.05259712],[0. 0.],0.6465587967553006,0.47126436781609193
87,347,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.46 2.42],[48.46 44.42],[0.04831108 0.05166524],[0. 0.],0.6433260027715241,0.4772727272727273
88,40,1,Popularity_Baseline,0.5,1.0,0.0,0.7,0.0,[2.46 2.43],[48.46 45.43],[0.04831108 0.05077309],[0. 0.],0.6401093727576664,0.48314606741573035
89,511,1,Popularity_Baseline,0.5,1.0,0.0,0.6,0.0,[2.46 2.44],[48.46 46.44],[0.04831108 0.04991817],[0. 0.],0.6369088258938781,0.4888888888888889
90,135,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.47 2.44],[49.47 46.44],[0.04755487 0.04991817],[0. 0.],0.6337242817644086,0.4835164835164835
91,89,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.48 2.44],[50.48 46.44],[0.04682779 0.04991817],[0. 0.],0.6305556603555866,0.4782608695652174
92,14,0,KBRS_Hybrid,0.5,1.0,0.0,1.0,0.0,[2.49 2.44],[51.49 46.44],[0.0461282  0.04991817],[0. 0.],0.6274028820538087,0.4731182795698925
93,246,1,Popularity_Baseline,0.5,1.0,0.0,0.5,0.0,[2.49 2.45],[51.49 47.45],[0.0461282 0.0490982],[0. 0.],0.6242658676435396,0.4787234042553192
94,9,1,Popularity_Baseline,0.5,1.0,0.0,1.0,0.0,[2.49 2.46],[51.49 48.46],[0.0461282  0.04831108],[0. 0.],0.6211445383053219,0.4842105263157895
95,534,1,Popularity_Baseline,0.5,1.0,0.0,0.5,0.0,[2.49 2.47],[51.49 49.47],[0.0461282  0.04755487],[0. 0.],0.6180388156137953,0.4895833333333333
96,555,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[3.5  2.47],[51.5  49.47],[0.06363636 0.04755487],[0.02 0.  ],0.6149486215357263,0.4845360824742268
97,204,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[4.51 2.47],[51.51 49.47],[0.08050696 0.04755487],[0.03921569 0.        ],0.6118738784280476,0.47959183673469385
98,233,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[5.52 2.47],[51.52 49.47],[0.09677419 0.04755487],[0.05769231 0.        ],0.6088145090359074,0.47474747474747475
99,107,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[6.53 2.47],[51.53 49.47],[0.11246986 0.04755487],[0.0754717 0.       ],0.6057704364907278,0.47
100,132,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[7.54 2.47],[51.54 49.47],[0.12762356 0.04755487],[0.09259259 0.        ],0.6027415843082742,0.46534653465346537
101,16,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[8.55 2.47],[51.55 49.47],[0.1422629  0.04755487],[0.10909091 0.        ],0.5997278763867329,0.46078431372549017
102,235,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[9.56 2.47],[51.56 49.47],[0.15641361 0.04755487],[0.125 0.   ],0.5967292370047992,0.4563106796116505
103,322,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[10.57  2.47],[51.57 49.47],[0.17009977 0.04755487],[0.14035088 0.        ],0.5937455908197752,0.4519230769230769
104,324,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[11.58  2.47],[51.58 49.47],[0.18334389 0.04755487],[0.15517241 0.        ],0.5907768628656763,0.44761904761904764
105,544,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[12.59  2.47],[51.59 49.47],[0.19616703 0.04755487],[0.16949153 0.        ],0.5878229785513479,0.44339622641509435
106,331,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[13.6   2.47],[51.6  49.47],[0.20858896 0.04755487],[0.18333333 0.        ],0.5848838636585911,0.4392523364485981
107,302,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[14.61  2.47],[51.61 49.47],[0.22062821 0.04755487],[0.19672131 0.        ],0.5819594443402982,0.4351851851851852
108,485,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[15.62  2.47],[51.62 49.47],[0.2323022  0.04755487],[0.20967742 0.        ],0.5790496471185967,0.43119266055045874
109,97,0,KBRS_Hybrid,1.0,1.0,1.0,0.0,0.0,[16.63  2.47],[51.63 49.47],[0.24362731 0.04755487],[0.22222222 0.        ],0.5761543988830038,0.42727272727272725
110,131,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[17.64  2.47],[51.64 49.47],[0.25461894 0.04755487],[0.234375 0.      ],0.5732736268885887,0.42342342342342343
111,298,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[18.65  2.47],[51.65 49.47],[0.26529161 0.04755487],[0.24615385 0.        ],0.5704072587541458,0.41964285714285715
112,102,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[19.66  2.47],[51.66 49.47],[0.275659   0.04755487],[0.25757576 0.        ],0.567555222460375,0.415929203539823
113,274,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[20.67  2.47],[51.67 49.47],[0.28573403 0.04755487],[0.26865672 0.        ],0.5647174463480732,0.41228070175438597
114,145,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[21.68  2.47],[51.68 49.47],[0.2955289  0.04755487],[0.27941176 0.        ],0.5618938591163328,0.40869565217391307
115,306,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[22.69  2.47],[51.69 49.47],[0.30505512 0.04755487],[0.28985507 0.        ],0.5590843898207511,0.4051724137931034
116,211,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[23.7   2.47],[51.7  49.47],[0.31432361 0.04755487],[0.3 0. ],0.5562889678716474,0.4017094017094017
117,526,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[24.71  2.47],[51.71 49.47],[0.32334467 0.04755487],[0.30985915 0.        ],0.5535075230322891,0.3983050847457627
118,570,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[25.72  2.47],[51.72 49.47],[0.3321281  0.04755487],[0.31944444 0.        ],0.5507399854171277,0.3949579831932773
119,527,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[26.73  2.47],[51.73 49.47],[0.34068315 0.04755487],[0.32876712 0.        ],0.547986285490042,0.39166666666666666
120,349,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[27.74  2.47],[51.74 49.47],[0.34901862 0.04755487],[0.33783784 0.        ],0.5452463540625918,0.3884297520661157
121,218,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[28.75  2.47],[51.75 49.47],[0.35714286 0.04755487],[0.34666667 0.        ],0.5425201222922789,0.38524590163934425
122,588,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[29.76  2.47],[51.76 49.47],[0.36506379 0.04755487],[0.35526316 0.        ],0.5398075216808175,0.3821138211382114
123,401,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[30.77  2.47],[51.77 49.47],[0.37278895 0.04755487],[0.36363636 0.        ],0.5371084840724134,0.3790322580645161
124,231,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[31.78  2.47],[51.78 49.47],[0.38032551 0.04755487],[0.37179487 0.        ],0.5344229416520513,0.376
125,388,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[32.79  2.47],[51.79 49.47],[0.3876803  0.04755487],[0.37974684 0.        ],0.531750826943791,0.373015873015873
126,426,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[33.8   2.47],[51.8  49.47],[0.39485981 0.04755487],[0.3875 0.    ],0.5290920728090721,0.3700787401574803
127,593,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[34.81  2.47],[51.81 49.47],[0.40187024 0.04755487],[0.39506173 0.        ],0.5264466124450268,0.3671875
128,15,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[35.82  2.47],[51.82 49.47],[0.40871748 0.04755487],[0.40243902 0.        ],0.5238143793828016,0.3643410852713178
129,307,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[36.83  2.47],[51.83 49.47],[0.41540717 0.04755487],[0.40963855 0.        ],0.5211953074858876,0.36153846153846153
130,342,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[37.84  2.47],[51.84 49.47],[0.42194469 0.04755487],[0.41666667 0.        ],0.5185893309484582,0.35877862595419846
131,357,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[38.85  2.47],[51.85 49.47],[0.42833517 0.04755487],[0.42352941 0.        ],0.5159963842937159,0.3560606060606061
132,373,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[39.86  2.47],[51.86 49.47],[0.43458352 0.04755487],[0.43023256 0.        ],0.5134164023722473,0.3533834586466165
133,300,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[40.87  2.47],[51.87 49.47],[0.44069441 0.04755487],[0.43678161 0.        ],0.510849320360386,0.35074626865671643
134,144,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[41.88  2.47],[51.88 49.47],[0.44667235 0.04755487],[0.44318182 0.        ],0.5082950737585841,0.34814814814814815
135,334,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[42.89  2.47],[51.89 49.47],[0.45252163 0.04755487],[0.4494382 0.       ],0.5057535983897912,0.34558823529411764
136,557,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[43.9   2.47],[51.9  49.47],[0.45824635 0.04755487],[0.45555556 0.        ],0.5032248303978422,0.34306569343065696
137,269,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[44.91  2.47],[51.91 49.47],[0.46385044 0.04755487],[0.46153846 0.        ],0.500708706245853,0.34057971014492755
138,388,0,KBRS_Hybrid,1.0,1.0,1.0,0.0,0.0,[45.92  2.47],[51.92 49.47],[0.46933769 0.04755487],[0.4673913 0.       ],0.4982051627146237,0.3381294964028777
139,358,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[46.93  2.47],[51.93 49.47],[0.47471171 0.04755487],[0.47311828 0.        ],0.49571413690105054,0.3357142857142857
140,322,0,KBRS_Hybrid,1.0,1.0,1.0,0.0,0.0,[47.94  2.47],[51.94 49.47],[0.47997597 0.04755487],[0.4787234 0.       ],0.4932355662165453,0.3333333333333333
141,92,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[48.95  2.47],[51.95 49.47],[0.4851338  0.04755487],[0.48421053 0.        ],0.4907693883854626,0.33098591549295775
142,497,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[49.96  2.47],[51.96 49.47],[0.49018838 0.04755487],[0.48958333 0.        ],0.4883155414435353,0.32867132867132864
143,395,0,KBRS_Hybrid,1.0,1.0,1.0,0.0,0.0,[50.97  2.47],[51.97 49.47],[0.4951428  0.04755487],[0.49484536 0.        ],0.4858739637363176,0.3263888888888889
144,42,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[51.98  2.47],[51.98 49.47],[0.5        0.04755487],[0.5 0. ],0.483444593917636,0.32413793103448274
145,456,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[52.99  2.47],[51.99 49.47],[0.50476281 0.04755487],[0.50505051 0.        ],0.4810273709480478,0.3219178082191781
146,545,0,KBRS_Hybrid,1.0,1.0,1.0,1.0,0.0,[54.    2.47],[52.   49.47],[0.50943396 0.04755487],[0.51 0.  ],0.47862223409330756,0.3197278911564626
